Company Name,Full Description,Description,Founder Name,Founded In,Location,Category,No. of Employees,Company Website,Company Type,Technologies,Business Functions,Business Model,IndiaAI URL
Nymble Labs,,"Nymble Labs is a  company founded in 2017, based in Karnataka, India",min read,2017,"Karnataka, India",,18,https://pokemondb.net/pokedex/nymble,Other,,,,https://indiaai.gov.in/startup/nymble-labs
Wysa,AI-enabled life coach for mental and emotional wellness,AI-enabled life coach for mental and emotional wellness | Type: Healthcare company,Jo is the,2015,"Karnataka, India",,55,https://wysa.com,Healthcare,,,,https://indiaai.gov.in/startup/wysa
Five(5)C Network,,"Technologies: 5C Network is every hospital's private radiologist. They ensure that hospitals and diagnostics centres never need to worry about the unavailability of a radiologists again. They can be called the Uber of Radiodiagnosis. They are India's First Diagnostics Network, and they make radiodiagnosis more accessible, affordable and accurate through technology. They are 5C because for the first time | Type: Healthcare company",,2014,"Karnataka, India",,31,https://www.5cnetwork.com/,Healthcare,"5C Network is every hospital's private radiologist. They ensure that hospitals and diagnostics centres never need to worry about the unavailability of a radiologists again. They can be called the Uber of Radiodiagnosis. They are India's First Diagnostics Network, and they make radiodiagnosis more accessible, affordable and accurate through technology. They are 5C because for the first time, the 5 stakeholders of Radiodiagnosis: The Doctor, Radiologist, Patient, Technologist and Hospital have a solution for each of their problems, through 5C Network.",,,https://indiaai.gov.in/startup/five-5-c-network
Remedo Healthcare,,Type: Healthcare company,The Financial Express,2016,"Uttar Pradesh, India",,38,https://RH.com,Healthcare,,,,https://indiaai.gov.in/startup/remedo-healthcare
CogniAble,AI driven digital therapy platform for Autism & assoiciated disorder,"AI driven digital therapy platform for Autism & assoiciated disorder | Technologies: CogniABle is a Machine learning-driven assistive technology for early detection and affordable treatment of Autism Spectrum Disorder. Founded by researchers and Scientists from IIT-Delhi, pediatricians, Psychologists and BCBA's from India and USA | Type: SaaS company",Dr. Himanshu Khurana,2016,"Haryana, India",,14,https://cogniable.tech,SaaS,"CogniABle is a Machine learning-driven assistive technology for early detection and affordable treatment of Autism Spectrum Disorder. Founded by researchers and Scientists from IIT-Delhi, pediatricians, Psychologists and BCBA's from India and USA, CogniAble brings affordability, accessibility and high-quality management on Autism condition on your fingertips.",,,https://indiaai.gov.in/startup/cogniable
Hind AI Labs,,Technologies: Hindlabs delivers high-end diagnostic services adding value to partner hospitals by deploying the latest diagnostic technology and operational support. The objective is to deliver quality services at affordable costs for the common people. Hindlabs provides professional lab management services for both in vitro diagnostics and radio diagnosis centres in hospitals. | Type: Healthcare company,experienced Co,2021,,,5000,https://HAL.ai,Healthcare,Hindlabs delivers high-end diagnostic services adding value to partner hospitals by deploying the latest diagnostic technology and operational support. The objective is to deliver quality services at affordable costs for the common people. Hindlabs provides professional lab management services for both in vitro diagnostics and radio diagnosis centres in hospitals.,,,https://indiaai.gov.in/startup/hind-ai-labs
Roadmetrics,,"Roadmetrics is a  company founded in 2019, based in Karnataka, India",,2019,"Karnataka, India",,0,https://roadmetrics.com,Other,,,,https://indiaai.gov.in/startup/roadmetrics
Gingermind.ai,Gingermind applies research for real-world impact in health and well-being. They create new technologies for improving...,Gingermind applies research for real-world impact in health and well-being. They create new technologies for improving... | Type: Technology company,,2021,"Karnataka, India",,0,,Technology,,,,https://indiaai.gov.in/startup/gingermind-ai
Sirena Technologies,,"Technologies: Sirena Technologies was formed with a purpose to bring innovative world-class products to the market; designed and developed in India, leveraging global ecosystem. Their product SKIP for schools is crafted to enable students to learn cutting-edge trending technologies which include Humanoids, Artificial Intelligence | Type: AI/ML company",Our guest for today,2021,,,0,https://ST.ai,AI/ML,"Sirena Technologies was formed with a purpose to bring innovative world-class products to the market; designed and developed in India, leveraging global ecosystem. Their product SKIP for schools is crafted to enable students to learn cutting-edge trending technologies which include Humanoids, Artificial Intelligence, Internet of Things, Voice Recognition, Computer Vision, Mechatronics, 3D printing, Android programming and more. Sirena, is the storm in making in terms of new age technology, cutting edge mechanization, leading software and trending hi-end robotics and IoT. In the space of Iot and cloud, they have designed the world’s smallest portable speaker – Vood, which is alexa enabled and continuously stream music upto 6 hours and can be your answering assistant to any questions you have. The products range from acoustics build to Cloud integration to ML, NLP, AI and much more.",,,https://indiaai.gov.in/startup/sirena-technologies
Nayan,Nayan provides road Safety and traffic monitoring through real-world visual monitoring using cameras.,Nayan provides road Safety and traffic monitoring through real-world visual monitoring using cameras. | Technologies: Artificial Intelligence technology-based start-ups on Thursday lauded government role in giving them back up and sought a regulatory regime... | Type: AI/ML company,of NAYAN,2021,,,50,https://nayan.in,AI/ML,Artificial Intelligence technology-based start-ups on Thursday lauded government role in giving them back up and sought a regulatory regime...,,,https://indiaai.gov.in/startup/nayan
Introbot,,Technologies: The rise of AI applications has been a significant success story in the field of technology in the past decade. As India is still battling... | Type: Technology company,Utkarsh Roy is the,2021,,,2,https://introbot.ai,Technology,The rise of AI applications has been a significant success story in the field of technology in the past decade. As India is still battling...,,,https://indiaai.gov.in/startup/introbot
iMerit Technology,,Type: Technology company,,2012,,,5500,https://iT.com,Technology,,,,https://indiaai.gov.in/startup/imerit-technology
Zeapl,"Enterprise grade,Worlds first cloud based unified workflow automation & conversational AI platform - Let's Simplify","Enterprise grade,Worlds first cloud based unified workflow automation & conversational AI platform - Let's Simplify | Type: SaaS company",As co,,,,17,https://zeapl.com,SaaS,,,,https://indiaai.gov.in/startup/zeapl
Automaton AI Infosystem Pvt. Ltd.,A full-stack Deep Learning & Machine Learning enterprise AI platform Company.,A full-stack Deep Learning & Machine Learning enterprise AI platform Company. | Type: AI/ML company,,,,,15,https://AAIPL.in,AI/ML,,,,https://indiaai.gov.in/startup/automaton-ai-infosystem-pvt-ltd
BlueSky Analytics,,BlueSky Analytics is a  company founded in 2021,,2021,,,50,https://blueskyanalytics.ai,Other,,,,https://indiaai.gov.in/startup/bluesky-analytics
ATAI Labs Pvt. Ltd.,ATAI Labs Pvt Ltd is an applied AI company pioneering in Digital Transformation for Supply chain and Logistics...,ATAI Labs Pvt Ltd is an applied AI company pioneering in Digital Transformation for Supply chain and Logistics... | Type: Logistics company,,2018,,,100,https://ALPL.in,Logistics,,,"ATAI Labs Pvt Ltd is an applied AI company pioneering in Digital Transformation for Supply chain and Logistics industries with the purpose-built innovative business models to enable customer safety and accountability from large capital investments. ATAI delivers true problem solving applied AI solutions from end-to-end, coupled with innovations in AI algorithms, sensors (Camera, Location sensors, Wireless mesh networks (LoRa, 5G etc.), Lidar and Radar), Edge computing and other cutting edge tech",https://indiaai.gov.in/startup/atai-labs-pvt-ltd
Matisoft cyber security labs,Matisoft is a specialist in discovering compromised systems. Their light weight scanner works seamlessly with any...,Matisoft is a specialist in discovering compromised systems. Their light weight scanner works seamlessly with any... | Type: Cybersecurity company,,2021,,,0,https://Mcsl.com,Cybersecurity,,,,https://indiaai.gov.in/startup/matisoft-cyber-security-labs
Megara Robotics,Megara Robotics is one of the leading companies in innovative robots for humanitarian cause.,"Megara Robotics is one of the leading companies in innovative robots for humanitarian cause. | Technologies: products and act as manufacturer of Robot and Automation components, Robot and Automation control components and Providing Robot Control Services, Automation projects and Service and Advanced Powered Wheelchairs and expansion programs. In addition | Type: Technology company",,2021,,,0,https://megararobotics.com,Technology,"products and act as manufacturer of Robot and Automation components, Robot and Automation control components and Providing Robot Control Services, Automation projects and Service and Advanced Powered Wheelchairs and expansion programs. In addition, Megara Robotics would also serve as technical and Robot development consultants in India and abroad.",,,https://indiaai.gov.in/startup/megara-robotics
Enixta Innovations,Enixta is helping its customers in fulfilling the desires of its customers leveraging advancement in latest technologies,Enixta is helping its customers in fulfilling the desires of its customers leveraging advancement in latest technologies | Technologies: Enixta is a technology company which develops solutions for consumer review. The broader idea of company is to use artificial intelligence to help consumers make better buying decision The company claims that its AI algorithms analyze millions of user reviews across categories and product technical specifications providing a balanced scorecard to include user expressed sentiments. This feature helps a user to compare and analyze product easily which saves time and money. | Type: AI/ML company,,,"Telangana, India",,19,https://EI.com,AI/ML,Enixta is a technology company which develops solutions for consumer review. The broader idea of company is to use artificial intelligence to help consumers make better buying decision The company claims that its AI algorithms analyze millions of user reviews across categories and product technical specifications providing a balanced scorecard to include user expressed sentiments. This feature helps a user to compare and analyze product easily which saves time and money.,,,https://indiaai.gov.in/startup/enixta-innovations
